20895073,LAHB,220503,05/03/2022 00:00:00,FIRE-Report of Fire,Sr168 E / Sr180 (jeo),Fresno,,,36.759809,-119.749066,6,19,27000,168,E,R0.67,.63,,3
20895075,SAHB,220503,05/03/2022 00:07:00,1125-Traffic Hazard,I5 S / Pocket Rd E Onr,South Sac,,,38.478557,-121.508717,3,67,64000,5,S,15.907,511.2,,3
20895076,GGHB,220503,05/03/2022 00:05:00,1183-Trfc Collision-Unkn Inj,0 I80 E,Oakland,,,37.825688,-122.302471,4,1,53000,80,E,2.59,7.9,,258
20895078,GGHB,220503,05/03/2022 00:12:00,1183-Trfc Collision-Unkn Inj,I80 E / Georgia St Ofr,Solano,,,38.099985,-122.229644,4,95,81666,80,E,2.815,30.3,,1335
20895080,LAHB,220503,05/03/2022 00:13:00,FIRE-Report of Fire,I405 N / Victory Blvd,West Valley,,,34.186639,-118.473991,7,37,44000,405,N,41.328,65.1,,26
20895081,LAHB,220503,05/03/2022 00:11:00,FIRE-Report of Fire,Sr180 E / Peach Ave Ofr,Fresno,,,36.75339,-119.724675,6,19,27000,180,E,R61.524,38.009,,5
20895084,INHB,220503,05/03/2022 00:07:00,1125-Traffic Hazard,Sr241 N / Loma Ridge Rd,Santa Ana,,,33.771623,-117.740947,12,59,,241,N,31.545,17,,8
20895085,INHB,220503,05/03/2022 00:09:00,1183-Trfc Collision-Unkn Inj,I5 S / Sheldon St,LACC,,,34.231557,-118.404309,7,37,44000,5,S,36.03,152.6,,6
20895086,LAHB,220503,05/03/2022 00:12:00,20002-Hit and Run No Injuries,Sr99 N / Avenue 21 1/2 Ofr,Madera,,,37.061885,-120.181316,6,39,,99,N,20.513,164.5,,47
20895087,LAHB,220503,05/03/2022 00:21:00,1125-Traffic Hazard,Sr99 N / Gateway Dr Ofr,Madera,,,36.946725,-120.044785,6,39,,99,N,9.532,153.5,,53
20895088,INHB,220503,05/03/2022 00:23:00,1125-Traffic Hazard,I10 W Eo / Main St  Mm 19,San Gorgonio Pass,,,33.919385,-116.76832,8,65,,10,W,R19.89,105.8,,40
20895089,SAHB,220503,05/03/2022 00:29:00,WIND-Wind Advisory,I5 N / Bypass,Woodland,,,38.673417,-121.630731,3,67,,5,N,0.255,530.2,,1274
20895090,SAHB,220503,05/03/2022 00:28:00,WIND-Wind Advisory,I80 E / Causeway,Woodland,,,38.563683,-121.636625,3,113,,80,E,5.9,78.1,,1275
20895092,SAHB,220503,05/03/2022 00:23:00,1125-Traffic Hazard,Us50 W / Us50 W Sr99 S Con,South Sac,,,38.559518,-121.46917,3,67,64000,50,W,R0.266,5.9,,4
20895093,GGHB,220503,05/03/2022 00:27:00,1179-Trfc Collision-1141 Enrt,I880 N / Thornton Ave Ofr,Hayward,,,37.543568,-122.020399,4,1,26000,880,N,8.573,18.8,,71
20895095,GGHB,220503,05/03/2022 00:34:00,1125-Traffic Hazard,Wb 4 Jeo Bailey,,,,,,,,,4,,,,,0
20895096,LAHB,220503,05/03/2022 00:28:00,1125-Traffic Hazard,Sr99 N / Cedar Ave Ofr,Fresno,,,36.686612,-119.751676,6,19,,99,N,16.66,129,,4
20895097,INHB,220503,05/03/2022 00:32:00,1125-Traffic Hazard,I10 W Eo / Cabazon,San Gorgonio Pass,,,33.918829,-116.797152,8,65,,10,W,R18.19,104.1,,1
20895100,GGHB,220503,05/03/2022 00:55:00,1125-Traffic Hazard,I280 N / I280 N Us101 N Con,San Francisco,,,37.73313,-122.412227,4,75,67000,280,N,R3.739,53.7,,0
20895101,GGHB,220503,05/03/2022 00:53:00,1179-Trfc Collision-1141 Enrt,Sr4 E / Pine St Ofr,Contra Costa,,,37.99293,-122.123639,4,13,46114,4,E,R8.92,9.228,,253
20895102,INHB,220503,05/03/2022 00:54:00,1125-Traffic Hazard,Sr91 E / Weir Canyon,Santa Ana,,,33.870401,-117.744465,12,59,2000,91,E,R14.427,32.8,,9
20895103,LAHB,220503,05/03/2022 00:58:00,1125-Traffic Hazard,I110 S / W Slauson Ave,Central LA,,,33.98915,-118.280795,7,37,44000,110,S,17.97,17.9,,1
20895104,SAHB,220503,05/03/2022 01:07:00,1125-Traffic Hazard,I5 S / Fremont St Ofr,Stockton,,,37.955887,-121.318454,10,77,75000,5,S,27.308,472.8,,1
20895110,LAHB,220503,05/03/2022 01:18:00,WW-Wrong Way Driver,I5 S / Imperial Hwy,Santa Fe Springs,,,33.917048,-118.080146,7,37,52526,5,S,4.93,121.5,,1
20895111,LAHB,220503,05/03/2022 01:17:00,WW-Wrong Way Driver,I5 S / Slauson Ave Ofr,East LA,,,33.978612,-118.127715,7,37,14974,5,S,10.03,126.6,,6
20895112,LAHB,220503,05/03/2022 01:16:00,WW-Wrong Way Driver,I5 S / Lakewood Blvd,Santa Fe Springs,,,33.957828,-118.111836,7,37,19766,5,S,8.33,124.9,,13
20895114,GGHB,220503,05/03/2022 01:23:00,FIRE-Report of Fire,LAWRENCE EXPY OFR / I280 N,San Jose,,,37.318462,-121.990017,4,85,68000,280,N,6.818,8.2,,4
20895115,GGHB,220503,05/03/2022 01:22:00,FIRE-Report of Fire,I280 S / WOLFE RD OFR,San Jose,,,37.332012,-122.017372,4,85,17610,280,S,8.618,10,,3
20895117,GGHB,220503,05/03/2022 01:24:00,1179-Trfc Collision-1141 Enrt,I280 N / I280 N Us101 N Con,San Francisco,,,37.73313,-122.412227,4,75,67000,280,N,R3.739,53.7,,130
20895118,LAHB,220503,05/03/2022 01:27:00,1125-Traffic Hazard,I405 S / I105 W,West LA,,,33.930194,-118.368526,7,37,44000,405,S,R21.228,45,,188
20895119,LAHB,220503,05/03/2022 01:24:00,1125-Traffic Hazard,I405 N / Normandie Ave,South LA,,,33.859914,-118.29918,7,37,44000,405,N,13.828,37.6,,9
20895120,INHB,220503,05/03/2022 01:24:00,1182-Trfc Collision-No Inj,I10 W Eo / Morongo Trl  Mm 18,San Gorgonio Pass,,,33.919353,-116.801052,8,65,,10,W,R17.99,103.9,,23
20895122,LAHB,220503,05/03/2022 01:31:00,1183-Trfc Collision-Unkn Inj,Sr99 N / Hammatt Ave Ofr,Merced,,,37.383117,-120.70924,10,47,,99,N,R28.754,202.1,,118
20895124,INHB,220503,05/03/2022 01:37:00,1013-Road/Weather Conditions,I8 W / Mountain Springs Rd Ofr,El Centro,,,32.679522,-116.096541,11,25,,8,W,R3.257,80.6,,0
